Timestamp,Timeofday,Cart_X_pos,Cart_Y_pos,Cart_Z_pos,Yaw,Roll,Pitch,Missing,Cable_lock
1759745757,121557.031,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745757,121557.235,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745757,121557.451,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745758,121557.655,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745758,121557.857,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745758,121558.06,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745758,121558.263,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745758,121558.465,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745759,121558.682,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745759,121558.883,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745759,121559.085,619511,5806174.96,41.47,-89.7,7,3.4,,1
1759745759,121559.288,619511,5806174.96,41.47,-90.7,2.5,2.7,,1
1759745759,121559.491,619511,5806174.96,41.47,-91.6,1,2.2,,1
1759745760,121559.694,619510.97,5806174.97,41.46,-90.6,1.9,2.6,,1
1759745760,121559.912,619510.77,5806174.98,41.47,-89.8,1.9,3.2,,1
1759745760,121600.115,619510.66,5806174.97,41.48,-91.2,1.8,3.3,,1
1759745760,121600.317,619510.56,5806174.95,41.48,-90.5,1.1,3,,1
1759745761,121600.519,619510.4,5806174.96,41.48,-89.9,2.1,2.8,,1
1759745761,121600.721,619510.18,5806174.95,41.47,-89.8,2.7,3,,1
1759745761,121600.937,619509.98,5806174.96,41.47,-90.2,4.1,3.3,,1
1759745761,121601.138,619509.72,5806174.96,41.47,-92.1,4.9,3.6,,1
1759745761,121601.339,619509.56,5806174.89,41.49,-93,4.3,3.8,,1
1759745762,121601.539,619509.3,5806174.82,41.5,-91.3,5.3,3.2,,1
1759745762,121601.539,619509.3,5806174.82,41.5,-89.9,3,2.9,,1
1759745762,121601.757,619509.22,5806174.86,41.49,-91.6,2.9,4.2,,1
1759745762,121601.96,619509.1,5806174.94,41.46,-91.6,2.8,2.9,,1
1759745762,121602.163,619508.88,5806174.87,41.5,-92.9,1.9,2.1,,1
1759745762,121602.367,619508.75,5806174.84,41.5,-91.2,2.9,3.4,,1
1759745763,121602.57,619508.75,5806174.84,41.5,-91.2,2.9,3.4,,1
1759745763,121602.775,619508.52,5806174.89,41.45,-90.7,2,4.1,,1
1759745763,121602.977,619508.33,5806174.92,41.49,-92.9,2.2,2.5,,1
1759745763,121603.179,619508.16,5806174.85,41.51,-90.2,2.2,2.5,,1
1759745763,121603.396,619507.73,5806174.87,41.49,-90,4.5,5.2,,1
